1 2 3 2.617 2.617
2 3 3 2.646 2.93
2 4 3 2.93 3.185
2 3 3 3.072 3.185
2 1 3 3.185 3.299
2 2 3 3.299 3.413
2 3 3 3.413 3.526
2 4 3 3.526 3.64
2 1 3 3.64 4.094
1 3 3 3.64 3.64
1 3 3 4.123 4.123
2 4 3 4.151 4.407
2 3 3 4.549 4.625
1 2 3 4.549 4.549
2 4 3 4.625 5.004
2 3 3 4.7 5.004
2 1 3 5.231 5.344
2 2 3 5.344 5.458
2 3 3 5.458 5.913
1 1 3 5.458 5.458
1 4 3 5.458 5.458
2 2 3 5.685 5.913
2 1 3 5.799 5.913
2 4 3 5.913 6.481
2 3 3 6.14 6.367
2 2 3 6.367 6.822
1 1 3 6.367 6.367
2 3 3 6.481 6.708
2 4 3 6.594 6.822
1 3 3 6.822 6.822
2 2 3 7.049 7.125
2 4 3 7.125 7.2
2 3 3 7.2 7.276
2 1 3 7.276 7.731
1 2 3 7.276 7.276
1 3 3 7.731 7.731
2 4 3 7.769 7.996
2 2 3 8.185 8.261
1 3 3 8.185 8.185
2 1 3 8.261 8.337
2 2 3 8.337 8.526
2 1 3 8.867 8.981
2 2 3 8.981 9.094
2 4 3 9.094 9.435
1 1 3 9.094 9.094
1 3 3 9.094 9.094
2 3 3 9.322 9.549
2 2 3 9.435 9.549
2 4 3 9.549 9.776
1 1 3 9.549 9.549
2 3 3 9.663 10.004
2 2 3 9.776 10.004
2 4 3 10.004 10.458
1 1 3 10.004 10.004
1 2 3 10.458 10.458
2 2 3 10.685 10.913
1 1 3 10.913 10.913
1 4 3 10.913 10.913
2 3 3 10.913 11.367
2 4 3 11.367 11.822
2 3 3 11.822 11.897
1 1 3 11.822 11.822
2 2 3 11.897 11.973
2 3 3 11.973 12.276
2 1 3 12.504 12.617
2 2 3 12.617 12.731
1 1 3 12.731 12.731
2 3 3 12.731 12.958
2 2 3 12.958 13.185
2 1 3 13.072 13.185
2 4 3 13.185 13.64
2 3 3 13.413 13.64
2 2 3 13.64 13.754
1 1 3 13.64 13.64
2 3 3 13.754 13.867
2 4 3 13.867 13.981
1 2 3 13.867 13.867
2 3 3 14.094 14.208
1 1 3 14.094 14.094
2 4 3 14.322 14.379
1 2 3 14.322 14.322
2 3 3 14.379 14.776
2 2 3 14.473 14.776
2 1 3 14.549 14.776
1 4 3 14.549 14.549
1 4 3 14.776 14.776
2 3 3 15.004 15.231
2 4 3 15.004 15.231
2 2 3 15.004 15.231
1 1 3 15.231 15.231
2 1 3 15.458 15.685
2 2 3 15.458 15.685
2 4 3 15.458 15.685
1 3 3 15.685 15.685
2 1 3 15.913 16.14
2 3 3 15.913 16.14
1 2 3 16.14 16.14
1 4 3 16.14 16.14
1 1 3 16.367 16.367
2 3 3 16.367 16.594
2 4 3 16.367 16.594
1 2 3 16.708 16.708
1 3 3 16.765 16.765
2 4 3 16.822 17.617
1 2 3 17.106 17.106
1 1 3 17.163 17.163
1 3 3 17.276 17.276
1 3 3 17.39 17.39
1 1 3 17.504 17.504
1 2 3 17.617 17.617
1 1 3 17.731 17.731
1 3 3 17.731 17.731
1 4 3 17.731 17.731
1 2 3 17.844 17.844
1 4 3 17.958 17.958
1 3 3 17.958 17.958
1 4 3 18.072 18.072
1 3 3 18.072 18.072
1 3 3 18.185 18.185
2 4 3 18.185 18.413
1 1 3 18.185 18.185
2 3 3 18.413 18.488
1 1 3 18.413 18.413
1 2 3 18.413 18.413
2 4 3 18.488 18.564
2 3 3 18.564 18.64
