1 2 3 3.196 3.196
1 4 3 3.196 3.196
1 3 3 3.593 3.593
1 1 3 4.254 4.254
1 4 3 4.65 4.65
1 3 3 5.179 5.179
1 1 3 5.575 5.575
1 2 3 6.368 6.368
1 3 3 6.897 6.897
1 4 3 7.425 7.425
1 2 3 7.822 7.822
1 1 3 8.483 8.483
1 4 3 8.879 8.879
1 2 3 9.408 9.408
1 1 3 10.597 10.597
1 2 3 11.126 11.126
1 3 3 11.654 11.654
1 4 3 11.654 11.654
1 1 3 12.051 12.051
1 2 3 12.447 12.447
1 1 3 12.712 12.712
1 2 3 13.108 13.108
1 3 3 13.505 13.505
1 4 3 13.769 13.769
1 2 3 14.165 14.165
1 1 3 14.562 14.562
2 2 3 14.826 15.355
2 3 3 15.355 15.884
1 1 3 15.884 15.884
1 2 3 16.28 16.28
1 4 3 16.941 16.941
1 3 3 17.337 17.337
2 2 3 17.998 18.527
2 1 3 18.923 20.113
1 2 3 20.113 20.113
1 1 3 20.509 20.509
1 4 3 20.906 20.906
1 3 3 21.302 21.302
2 1 3 21.699 22.227
1 3 3 22.227 22.227
1 4 3 22.227 22.227
1 2 3 22.756 22.756
1 1 3 23.284 23.284
1 4 3 23.284 23.284
1 3 3 23.813 23.813
1 1 3 24.342 24.342
1 2 3 24.342 24.342
1 4 3 24.87 24.87
1 1 3 25.399 25.399
1 3 3 25.399 25.399
1 2 3 25.928 25.928
1 3 3 26.456 26.456
1 4 3 26.456 26.456
1 2 3 26.985 26.985
1 1 3 27.513 27.513
1 4 3 27.513 27.513
1 3 3 28.042 28.042
1 1 3 28.571 28.571
1 2 3 28.571 28.571
1 4 3 29.099 29.099
1 1 3 29.628 29.628
1 3 3 29.628 29.628
1 2 3 30.024 30.024
1 4 3 30.024 30.024
2 3 3 30.289 30.685
1 1 3 30.685 30.685
1 4 3 30.685 30.685
1 2 3 31.214 31.214
1 3 3 31.743 31.743
1 4 3 31.743 31.743
1 2 3 32.271 32.271
1 1 3 32.8 32.8
1 3 3 32.8 32.8
1 4 3 33.328 33.328
1 1 3 33.857 33.857
1 2 3 33.857 33.857
1 3 3 34.386 34.386
1 1 3 34.914 34.914
1 4 3 34.914 34.914
1 2 3 35.443 35.443
1 3 3 35.972 35.972
1 4 3 35.972 35.972
1 2 3 36.5 36.5
1 1 3 37.029 37.029
1 4 3 37.029 37.029
1 3 3 37.558 37.558
2 2 3 38.218 38.615
2 4 3 38.615 39.143
1 1 3 39.143 39.143
1 2 3 39.408 39.408
1 3 3 39.936 39.936
1 2 3 40.465 40.465
1 4 3 40.994 40.994
1 1 3 41.258 41.258
1 3 3 41.654 41.654
1 2 3 42.183 42.183
1 3 3 42.844 42.844
1 4 3 43.373 43.373
1 3 3 44.033 44.033
1 2 3 44.298 44.298
1 4 3 44.826 44.826
1 1 3 45.223 45.223
1 4 3 45.487 45.487
1 2 3 45.884 45.884
1 4 3 46.28 46.28
2 2 3 46.676 47.602
1 1 3 47.602 47.602
1 3 3 47.998 47.998
1 1 3 48.395 48.395
1 3 3 48.791 48.791
2 4 3 49.187 49.716
1 1 3 49.716 49.716
2 2 3 49.716 50.773
1 3 3 50.773 50.773
2 4 3 50.773 51.831
2 1 3 51.831 52.888
1 3 3 51.831 51.831
2 2 3 52.888 53.945
1 3 3 52.888 52.888
1 1 3 53.945 53.945
2 4 3 53.945 54.21
2 1 3 54.474 55.795
1 3 3 55.002 55.002
1 2 3 56.06 56.06
1 4 3 56.588 56.588
1 3 3 57.117 57.117
1 1 3 57.513 57.513
1 3 3 57.778 57.778
2 1 3 58.174 58.439
1 4 3 58.439 58.439
1 3 3 58.835 58.835
1 2 3 59.232 59.232
1 1 3 59.628 59.628
2 2 3 60.289 60.553
1 3 3 60.553 60.553
1 1 3 60.95 60.95
1 4 3 61.346 61.346
1 3 3 61.743 61.743
1 1 3 62.403 62.403
1 2 3 62.403 62.403
1 3 3 63.461 63.461
1 2 3 63.857 63.857
1 4 3 64.518 64.518
1 3 3 64.914 64.914
1 2 3 65.575 65.575
1 1 3 66.104 66.104
1 3 3 66.632 66.632
1 1 3 69.276 69.276
1 2 3 69.804 69.804
1 3 3 70.333 70.333
1 1 3 70.862 70.862
1 4 3 70.862 70.862
1 3 3 71.39 71.39
1 1 3 71.919 71.919
1 2 3 71.919 71.919
1 4 3 72.447 72.447
1 1 3 72.976 72.976
1 3 3 72.976 72.976
1 2 3 73.505 73.505
1 3 3 74.033 74.033
1 4 3 74.033 74.033
1 2 3 74.562 74.562
1 1 3 75.091 75.091
1 4 3 75.091 75.091
1 3 3 75.619 75.619
1 1 3 76.148 76.148
1 2 3 76.148 76.148
1 4 3 76.676 76.676
1 2 3 77.205 77.205
1 3 3 77.205 77.205
1 1 3 77.734 77.734
1 2 3 78.262 78.262
1 4 3 78.262 78.262
1 3 3 78.791 78.791
1 1 3 79.32 79.32
1 4 3 79.32 79.32
1 2 3 79.848 79.848
1 1 3 80.377 80.377
1 3 3 80.377 80.377
1 2 3 80.906 80.906
1 3 3 81.434 81.434
1 4 3 81.434 81.434
1 2 3 81.831 81.831
1 1 3 82.227 82.227
1 4 3 82.227 82.227
1 3 3 83.02 83.02
1 1 3 83.549 83.549
1 4 3 83.549 83.549
1 2 3 84.077 84.077
1 3 3 84.606 84.606
1 4 3 84.606 84.606
1 1 3 85.135 85.135
1 2 3 85.663 85.663
1 3 3 85.663 85.663
1 4 3 86.192 86.192
1 1 3 86.721 86.721
1 2 3 87.249 87.249
1 1 3 87.778 87.778
1 4 3 87.778 87.778
1 3 3 88.306 88.306
1 2 3 88.835 88.835
1 4 3 88.835 88.835
1 1 3 89.364 89.364
1 2 3 89.892 89.892
1 3 3 89.892 89.892
1 1 3 90.421 90.421
1 2 3 90.95 90.95
1 4 3 90.95 90.95
1 3 3 91.478 91.478
1 1 3 92.007 92.007
1 4 3 92.007 92.007
1 2 3 92.536 92.536
1 1 3 93.064 93.064
1 3 3 93.064 93.064
1 2 3 93.593 93.593
1 3 3 94.121 94.121
1 4 3 94.121 94.121
1 2 3 94.518 94.518
1 1 3 94.914 94.914
1 3 3 94.914 94.914
1 2 3 95.443 95.443
1 3 3 95.839 95.839
1 1 3 96.236 96.236
1 4 3 96.236 96.236
1 2 3 97.293 97.293
2 3 3 98.086 98.35
1 1 3 98.35 98.35
1 4 3 98.35 98.35
1 2 3 99.408 99.408
1 3 3 100.465 100.465
1 1 3 102.183 102.183
1 2 3 102.58 102.58
1 3 3 103.24 103.24
1 4 3 103.637 103.637
1 2 3 104.165 104.165
1 3 3 104.694 104.694
1 4 3 105.091 105.091
1 1 3 105.487 105.487
1 1 3 106.809 106.809
1 4 3 106.809 106.809
1 3 3 107.337 107.337
1 2 3 107.866 107.866
1 4 3 108.395 108.395
1 1 3 108.923 108.923
1 2 3 109.452 109.452
1 3 3 109.98 109.98
1 4 3 110.509 110.509
1 1 3 111.038 111.038
1 3 3 111.038 111.038
1 2 3 111.566 111.566
1 4 3 112.095 112.095
1 3 3 112.624 112.624
1 1 3 113.152 113.152
1 2 3 113.152 113.152
1 4 3 113.945 113.945
1 1 3 115.267 115.267
2 3 3 115.267 115.795
2 2 3 115.795 116.324
1 1 3 116.324 116.324
2 4 3 116.324 116.853
2 3 3 116.853 117.381
2 2 3 117.381 117.91
1 4 3 117.381 117.381
2 4 3 117.91 118.439
1 1 3 118.439 118.439
2 2 3 118.439 118.967
2 3 3 118.967 119.496
2 1 3 119.496 120.024
1 4 3 119.496 119.496
2 3 3 120.024 120.553
1 1 3 120.553 120.553
2 2 3 120.553 121.082
2 4 3 121.082 121.61
1 1 3 121.61 121.61
2 3 3 121.61 122.139
2 2 3 122.139 122.668
1 3 3 122.668 122.668
2 4 3 122.668 123.196
2 1 3 123.196 123.725
1 2 3 123.725 123.725
2 3 3 123.725 124.254
2 4 3 124.254 124.782
1 1 3 124.782 124.782
2 2 3 124.782 125.311
2 3 3 125.311 125.839
2 1 3 125.839 126.368
1 4 3 125.839 125.839
2 2 3 126.368 126.897
1 1 3 126.897 126.897
2 4 3 126.897 127.425
2 3 3 127.425 127.954
2 2 3 127.954 128.483
1 4 3 127.954 127.954
2 4 3 128.483 129.011
1 1 3 129.011 129.011
2 3 3 129.011 129.54
2 2 3 129.54 130.069
1 4 3 130.069 130.069
1 3 3 130.465 130.465
1 2 3 130.862 130.862
2 4 3 131.126 131.654
1 2 3 131.654 131.654
1 3 3 131.787 131.787
1 1 3 132.183 132.183
1 4 3 132.183 132.183
1 2 3 132.58 132.58
1 1 3 132.976 132.976
1 4 3 132.976 132.976
1 3 3 133.373 133.373
1 1 3 133.769 133.769
1 2 3 133.769 133.769
1 4 3 134.165 134.165
1 1 3 134.562 134.562
1 3 3 134.562 134.562
1 2 3 134.958 134.958
1 3 3 135.355 135.355
1 4 3 135.355 135.355
1 1 3 135.751 135.751
1 4 3 136.148 136.148
1 3 3 136.544 136.544
1 1 3 136.941 136.941
1 4 3 136.941 136.941
1 3 3 137.337 137.337
1 2 3 137.734 137.734
1 4 3 137.734 137.734
1 3 3 138.13 138.13
1 1 3 138.527 138.527
1 2 3 138.527 138.527
1 4 3 138.923 138.923
1 1 3 139.32 139.32
1 3 3 139.32 139.32
1 2 3 139.716 139.716
1 4 3 140.113 140.113
1 3 3 140.509 140.509
1 1 3 141.699 141.699
1 4 3 141.699 141.699
