1 2 3 1.25 1.25
1 4 3 1.5 1.5
1 1 3 1.75 1.75
2 2 3 2 2.25
1 3 3 2 2
1 4 3 2.25 2.25
2 2 3 2.5 2.75
1 4 3 2.75 2.75
2 2 3 3 3.5
1 4 3 3.25 3.25
2 3 3 3.5 3.75
1 1 3 3.75 3.75
2 2 3 4 4.25
1 3 3 4 4
2 4 3 4.25 4.5
2 1 3 4.5 4.75
1 2 3 4.5 4.5
2 3 3 4.75 5
2 1 3 5 5.25
1 4 3 5.25 5.25
2 3 3 5.5 5.75
2 2 3 5.75 6
1 1 3 6 6
2 4 3 6 6.25
1 3 3 6.25 6.25
2 1 3 6.5 6.75
1 2 3 6.5 6.5
2 3 3 6.75 7
2 2 3 7 7.25
1 4 3 7 7
1 1 3 7.25 7.25
1 3 3 7.5 7.5
2 4 3 7.5 7.75
2 2 3 7.75 8
1 1 3 8 8
2 3 3 8 8.25
1 4 3 8.25 8.25
2 2 3 8.5 8.75
2 4 3 8.75 9
2 1 3 9 9.25
1 2 3 9 9
1 3 3 9.25 9.25
1 2 3 9.5 9.5
1 4 3 9.5 9.5
1 1 3 9.75 9.75
1 3 3 10 10
2 4 3 10 10.25
1 2 3 10.25 10.25
2 4 3 10.5 10.75
1 2 3 10.75 10.75
2 4 3 11 11.5
1 3 3 11.25 11.25
2 1 3 11.5 11.75
1 2 3 11.5 11.5
1 3 3 11.75 11.75
2 2 3 12 12.25
1 4 3 12 12
2 3 3 12.25 12.5
2 1 3 12.5 12.75
1 2 3 12.5 12.5
2 4 3 12.75 13
2 1 3 13 13.5
1 2 3 13 13
1 3 3 13.25 13.25
2 2 3 13.5 13.75
1 4 3 13.5 13.5
2 3 3 13.75 14
1 1 3 14 14
2 4 3 14 14.5
1 1 3 14.5 14.5
2 2 3 14.5 14.75
2 3 3 14.75 15
2 1 3 15 15.5
1 4 3 15 15
1 3 3 15.5 15.5
2 4 3 15.5 15.75
2 2 3 15.75 16
2 3 3 16 16.5
2 1 3 16.5 17
2 3 3 17 17.5
1 4 3 17.25 17.25
2 1 3 17.5 17.75
2 2 3 17.75 18
1 1 3 18 18
1 3 3 18 18
1 4 3 18 18
1 2 3 18.25 18.25
1 3 3 18.375 18.375
1 1 3 18.5 18.5
1 4 3 18.5 18.5
1 3 3 18.75 18.75
1 2 3 18.875 18.875
1 1 3 19 19
1 4 3 19 19
1 2 3 19.25 19.25
1 4 3 19.375 19.375
1 1 3 19.5 19.5
2 3 3 19.5 19.75
2 2 3 19.75 20
1 1 3 20 20
2 3 3 20 20.25
2 2 3 20.25 20.5
1 3 3 20.5 20.5
2 4 3 20.5 20.75
2 1 3 20.75 21
1 3 3 21 21
1 4 3 21 21
1 1 3 21.125 21.125
1 2 3 21.125 21.125
1 1 3 21.5 21.5
2 4 3 21.5 21.75
2 3 3 21.75 22
1 1 3 22 22
1 2 3 22 22
1 4 3 22.25 22.25
1 3 3 22.375 22.375
1 1 3 22.5 22.5
1 2 3 22.5 22.5
1 1 3 22.75 22.75
1 2 3 22.875 22.875
1 3 3 23 23
1 4 3 23 23
1 2 3 23.25 23.25
1 3 3 23.375 23.375
2 1 3 23.5 23.75
1 4 3 23.5 23.5
2 2 3 23.75 24
2 3 3 24 24.25
1 4 3 24 24
2 2 3 24.25 24.5
1 1 3 24.5 24.5
1 4 3 24.5 24.5
1 2 3 24.75 24.75
1 3 3 24.875 24.875
1 1 3 25 25
1 2 3 25 25
1 3 3 25.125 25.125
1 4 3 25.125 25.125
1 1 3 25.5 25.5
2 2 3 25.5 25.75
2 4 3 25.75 26
1 1 3 26 26
1 2 3 26 26
1 3 3 26 26
1 1 3 26.25 26.25
1 2 3 26.375 26.375
1 3 3 26.5 26.5
1 4 3 26.5 26.5
1 2 3 26.75 26.75
1 3 3 26.875 26.875
1 1 3 27 27
1 2 3 27 27
1 4 3 27.25 27.25
1 3 3 27.375 27.375
1 1 3 27.5 27.5
1 2 3 27.5 27.5
1 3 3 27.75 27.75
1 2 3 27.875 27.875
1 3 3 28 28
2 4 3 28 28.25
2 1 3 28.25 28.5
2 3 3 28.5 28.75
1 4 3 28.5 28.5
2 2 3 28.75 29
1 1 3 29 29
1 4 3 29 29
1 2 3 29.125 29.125
1 3 3 29.125 29.125
2 1 3 29.5 29.75
1 4 3 29.5 29.5
2 3 3 29.75 30
1 1 3 30 30
1 2 3 30 30
1 3 3 30.25 30.25
1 2 3 30.375 30.375
1 1 3 30.5 30.5
2 4 3 30.5 30.75
2 3 3 30.75 31.25
1 1 3 31 31
1 2 3 31.25 31.25
1 3 3 31.375 31.375
2 1 3 31.5 31.75
1 4 3 31.5 31.5
2 2 3 31.75 33
1 4 3 32 32
1 3 3 32.25 32.25
1 1 3 32.5 32.5
1 4 3 32.5 32.5
1 3 3 32.75 32.75
1 1 3 33 33
1 4 3 33 33
1 2 3 33.125 33.125
1 3 3 33.125 33.125
1 1 3 33.5 33.5
1 4 3 33.5 33.5
1 2 3 33.75 33.75
1 3 3 33.833 33.833
1 4 3 33.916 33.916
1 1 3 34 34
1 2 3 34 34
1 3 3 34.25 34.25
2 1 3 34.5 34.75
1 4 3 34.5 34.5
1 2 3 34.75 34.75
1 3 3 35 35
1 4 3 35 35
2 1 3 35.25 35.5
1 2 3 35.5 35.5
1 3 3 35.5 35.5
1 4 3 35.75 35.75
1 1 3 36 36
1 2 3 36 36
2 3 3 36.25 36.5
1 2 3 36.5 36.5
1 4 3 36.5 36.5
2 1 3 36.75 37
2 3 3 37 37.25
1 4 3 37 37
2 2 3 37.25 37.5
1 1 3 37.5 37.5
2 3 3 37.5 37.75
1 1 3 38 38
1 4 3 38 38
1 2 3 38.25 38.25
1 3 3 38.5 38.5
2 4 3 38.5 38.75
1 1 3 38.75 38.75
1 2 3 39 39
1 3 3 39 39
2 4 3 39.25 39.5
1 1 3 39.5 39.5
1 2 3 39.5 39.5
1 3 3 39.75 39.75
1 1 3 40 40
1 4 3 40 40
2 2 3 40.25 40.5
1 1 3 40.5 40.5
1 4 3 40.5 40.5
2 3 3 40.75 41
1 1 3 41 41
2 2 3 41 41.25
2 4 3 41.25 41.5
2 2 3 41.5 41.75
1 3 3 41.5 41.5
1 1 3 41.75 41.75
1 3 3 42 42
1 4 3 42 42
