1 2 3 16.467 16.467
1 3 3 17.044 17.044
1 2 3 17.62 17.62
1 4 3 18.197 18.197
1 1 3 18.39 18.39
1 4 3 18.582 18.582
1 2 3 18.774 18.774
1 3 3 18.967 18.967
1 1 3 19.159 19.159
1 4 3 19.351 19.351
1 1 3 19.928 19.928
1 4 3 20.12 20.12
1 2 3 20.505 20.505
1 2 3 20.697 20.697
1 2 3 20.89 20.89
1 3 3 21.082 21.082
1 3 3 21.274 21.274
1 1 3 21.467 21.467
1 3 3 21.467 21.467
1 2 3 21.659 21.659
2 1 3 21.851 22.044
2 4 3 21.851 22.044
1 2 3 22.236 22.236
1 3 3 22.428 22.428
1 2 3 22.62 22.62
1 4 3 22.813 22.813
1 1 3 22.813 22.813
1 2 3 23.197 23.197
1 2 3 23.39 23.39
1 3 3 23.582 23.582
1 2 3 23.774 23.774
1 2 3 23.967 23.967
1 2 3 24.351 24.351
1 1 3 24.544 24.544
1 4 3 24.736 24.736
1 2 3 25.12 25.12
1 1 3 25.313 25.313
1 4 3 25.505 25.505
1 4 3 26.659 26.659
1 1 3 26.851 26.851
1 3 3 27.62 27.62
1 2 3 27.813 27.813
1 2 3 29.495 29.495
1 3 3 29.495 29.495
2 4 3 29.495 30.265
2 1 3 29.495 30.265
1 3 3 29.688 29.688
1 2 3 29.88 29.88
1 3 3 30.072 30.072
1 2 3 30.265 30.265
1 3 3 30.457 30.457
1 2 3 30.649 30.649
1 3 3 30.842 30.842
1 2 3 31.034 31.034
1 2 3 31.226 31.226
1 3 3 31.419 31.419
1 3 3 31.611 31.611
1 2 3 31.803 31.803
1 2 3 31.995 31.995
1 3 3 32.188 32.188
1 3 3 32.38 32.38
1 1 3 32.572 32.572
1 2 3 32.765 32.765
1 3 3 32.957 32.957
1 4 3 33.149 33.149
1 3 3 33.342 33.342
1 2 3 33.534 33.534
1 1 3 33.726 33.726
1 2 3 33.919 33.919
1 3 3 33.919 33.919
1 3 3 34.111 34.111
1 2 3 34.303 34.303
1 4 3 34.495 34.495
1 1 3 34.688 34.688
2 4 3 34.88 34.976
2 3 3 35.072 35.169
2 2 3 35.265 35.361
2 1 3 35.457 35.553
1 2 3 35.601 35.601
1 3 3 35.601 35.601
1 4 3 35.794 35.794
1 1 3 35.794 35.794
1 4 3 35.986 35.986
1 1 3 35.986 35.986
1 2 3 36.178 36.178
1 3 3 36.178 36.178
1 1 3 36.37 36.37
1 2 3 36.563 36.563
1 3 3 36.755 36.755
1 4 3 36.947 36.947
2 1 3 37.14 37.332
1 2 3 37.332 37.332
2 4 3 37.524 37.717
1 3 3 37.717 37.717
2 2 3 37.909 38.101
1 1 3 38.101 38.101
2 3 3 38.294 38.486
1 4 3 38.486 38.486
1 2 3 38.678 38.678
1 3 3 38.87 38.87
1 2 3 39.063 39.063
1 3 3 39.255 39.255
1 1 3 39.447 39.447
1 4 3 39.64 39.64
1 1 3 39.832 39.832
1 4 3 40.024 40.024
1 1 3 40.217 40.217
1 4 3 40.409 40.409
1 1 3 40.601 40.601
1 4 3 40.601 40.601
1 2 3 40.794 40.794
1 3 3 40.794 40.794
1 1 3 40.986 40.986
1 4 3 40.986 40.986
1 2 3 41.178 41.178
1 3 3 41.178 41.178
1 1 3 41.37 41.37
1 4 3 41.37 41.37
2 4 3 41.563 43.486
2 1 3 41.563 43.486
1 2 3 43.245 43.245
1 3 3 43.245 43.245
1 2 3 68.245 68.245
1 3 3 68.63 68.63
1 2 3 69.303 69.303
1 3 3 69.688 69.688
1 1 3 70.072 70.072
1 4 3 70.505 70.505
1 4 3 71.274 71.274
1 4 3 71.659 71.659
2 2 3 73.197 73.967
2 3 3 73.582 73.967
1 1 3 74.303 74.303
1 1 3 74.688 74.688
1 4 3 75.072 75.072
1 4 3 75.457 75.457
1 2 3 75.842 75.842
1 3 3 75.842 75.842
1 2 3 76.226 76.226
1 3 3 76.226 76.226
1 1 3 76.563 76.563
1 4 3 77.332 77.332
2 1 3 77.717 78.101
1 2 3 78.101 78.101
2 4 3 78.486 78.87
1 3 3 78.87 78.87
2 2 3 79.255 79.64
1 4 3 79.64 79.64
2 3 3 80.024 80.409
1 1 3 80.409 80.409
1 2 3 80.794 80.794
1 3 3 81.178 81.178
1 3 3 81.563 81.563
1 3 3 81.947 81.947
1 1 3 82.332 82.332
1 1 3 82.717 82.717
1 1 3 83.101 83.101
1 2 3 83.486 83.486
1 3 3 83.87 83.87
1 4 3 84.255 84.255
1 3 3 84.64 84.64
1 2 3 85.024 85.024
1 1 3 85.409 85.409
2 4 3 85.409 91.515
1 2 3 86.178 86.178
1 3 3 86.947 86.947
2 1 3 87.717 88.101
2 3 3 88.486 88.87
1 2 3 91.467 91.467
1 1 3 91.467 91.467
1 3 3 91.659 91.659
1 4 3 91.851 91.851
1 3 3 92.044 92.044
1 2 3 92.236 92.236
1 1 3 92.428 92.428
1 4 3 92.428 92.428
1 2 3 92.62 92.62
1 3 3 92.813 92.813
1 2 3 93.005 93.005
1 1 3 93.197 93.197
1 4 3 93.197 93.197
1 1 3 93.39 93.39
1 4 3 93.39 93.39
1 2 3 93.582 93.582
1 3 3 93.774 93.774
1 4 3 93.967 93.967
1 3 3 94.159 94.159
2 2 3 94.351 94.544
1 1 3 94.544 94.544
1 4 3 94.736 94.736
1 3 3 94.928 94.928
1 2 3 95.12 95.12
2 1 3 95.313 95.505
2 4 3 95.313 95.505
1 2 3 95.505 95.505
1 3 3 95.697 95.697
1 1 3 95.89 95.89
1 2 3 96.082 96.082
1 3 3 96.082 96.082
1 3 3 96.274 96.274
1 2 3 96.274 96.274
1 2 3 96.467 96.467
1 3 3 96.467 96.467
1 1 3 96.659 96.659
1 4 3 96.851 96.851
1 2 3 97.044 97.044
1 2 3 97.236 97.236
1 2 3 97.428 97.428
